,neighborhood,count
0,ARGENTARIO,454
1,BONDONE,292
2,CENTRO STORICO PIEDICASTELLO,2964
3,GARDOLO,1651
4,MATTARELLO,264
5,MEANO,206
7,OLTREFERSINA,2695
8,POVO,189
9,RAVINA-ROMAGNANO,319
10,S.GIUSEPPE-S.CHIARA,3024
11,SARDAGNA,38
12,VILLAZZANO,416
